# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.197693092794e-09       4.174608862607e-15       2.704040720854e-12       0.000000000000e+00       8.809130097281e-09      -2.220289015389e-10      -1.832848234852e-12 
    3       3.175615475436e-09       5.331429320695e-15       2.823360121013e-12       0.000000000000e+00       5.474102998765e-09      -3.863679850711e-11      -1.384862953602e-12 
    4       3.133179763063e-09       4.584085826906e-15       2.553915240134e-12       0.000000000000e+00       3.849645257838e-09       2.091680814147e-11      -9.033807972277e-13 
    5       3.088609448096e-09       3.024132483019e-15       2.139117621031e-12       0.000000000000e+00       2.903460120837e-09       4.148396033575e-11      -4.989882866583e-13 
    6       3.046024407189e-09       1.653477366639e-15       1.704983762252e-12       0.000000000000e+00       2.288124621339e-09       4.806009038141e-11      -2.019578221797e-13 
    7       3.006086092675e-09       8.568104557684e-16       1.319541909491e-12       0.000000000000e+00       1.860501546734e-09       4.893106068011e-11      -1.345686175502e-14 
    8       2.968558158295e-09       5.243018027321e-16       1.009601272608e-12       0.000000000000e+00       1.549081454237e-09       4.740109306147e-11       8.166379957574e-14 
    9       2.932760578944e-09       4.035200739389e-16       7.792381026549e-13       0.000000000000e+00       1.313902267716e-09       4.493401463208e-11       1.069673595830e-13 
   10       2.898319584473e-09       3.298512312143e-16       6.211024607829e-13       0.000000000000e+00       1.131008019709e-09       4.220002547855e-11       8.855051752346e-14 
   11       2.865024111167e-09       2.613870181345e-16       5.229765999672e-13       0.000000000000e+00       9.530829321864e-10       4.062171421157e-11       5.064787744944e-14 
   12       2.832491848171e-09       2.112511264926e-16       4.716478805155e-13       0.000000000000e+00       8.376923360109e-10       3.645418518279e-11       1.108810420860e-14 
   13       2.800432379887e-09       1.869668128235e-16       4.552575633455e-13       0.000000000000e+00       7.425693941686e-10       3.349919018626e-11      -1.839878164801e-14 
   14       2.768916191706e-09       1.782972151536e-16       4.642600686452e-13       0.000000000000e+00       6.631175645355e-10       3.092302742406e-11      -3.331205586916e-14 
   15       2.737840096086e-09       1.733652723981e-16       4.912045267528e-13       0.000000000000e+00       5.959766125905e-10       2.798381255259e-11      -3.459198691083e-14 
   16       2.706935416310e-09       1.707639953080e-16       5.305916800728e-13       0.000000000000e+00       5.386656440859e-10       2.568713955592e-11      -2.631022353405e-14 
   17       2.676298511016e-09       1.766570137302e-16       5.790742091298e-13       0.000000000000e+00       4.893123630527e-10       2.375128636505e-11      -1.399320719391e-14 
   18       2.645644579906e-09       1.955826223147e-16       6.343001366256e-13       0.000000000000e+00       4.463121936776e-10       2.201804000988e-11      -2.825146463227e-15 
   19       2.615571275768e-09       2.264579772942e-16       6.949539359059e-13       0.000000000000e+00       4.090335626683e-10       2.046973821466e-11       4.490235750331e-15 
   20       2.585408003954e-09       2.659019300346e-16       7.596194003422e-13       0.000000000000e+00       3.760784482296e-10       1.903743705137e-11       6.262525189260e-15 
   21       2.555497420969e-09       3.128381459444e-16       8.275108205066e-13       0.000000000000e+00       3.469596965185e-10       1.771291472613e-11       3.301374393680e-15 
   22       2.525605263730e-09       3.666802735322e-16       8.979075573357e-13       0.000000000000e+00       3.210099092793e-10       1.649003258537e-11      -2.263593310040e-15 
   23       2.495982949814e-09       4.269015569937e-16       9.701587444671e-13       0.000000000000e+00       2.978939402945e-10       1.536605122483e-11      -8.352138553109e-15 
   24       2.466415917347e-09       4.927874888336e-16       1.043598760116e-12       0.000000000000e+00       2.770984372526e-10       1.433396117054e-11      -1.278938528765e-14 
   25       2.437096585570e-09       5.634619222112e-16       1.117821546189e-12       0.000000000000e+00       2.583943866212e-10       1.342484183108e-11      -1.466131061326e-14 
   26       2.407888983043e-09       6.383221140715e-16       1.192516861381e-12       0.000000000000e+00       2.414584600407e-10       1.265925517581e-11      -1.368207097844e-14 
   27       2.378856772922e-09       7.189975408651e-16       1.267500326936e-12       0.000000000000e+00       2.260996798445e-10       1.196769285485e-11      -1.070862197209e-14 
   28       2.349839443995e-09       8.077719830774e-16       1.342678554029e-12       0.000000000000e+00       2.120654974595e-10       1.125734775792e-11      -7.068802269477e-15 
   29       2.321102570085e-09       9.053474566787e-16       1.418113851399e-12       0.000000000000e+00       1.992923251584e-10       1.054699915999e-11      -3.606780205443e-15 
   30       2.292675822450e-09       1.011895424958e-15       1.493982233867e-12       0.000000000000e+00       1.876510437567e-10       9.895470512728e-12      -1.159454942703e-15 
   31       2.264275343247e-09       1.127549521986e-15       1.570489671327e-12       0.000000000000e+00       1.769138762655e-10       9.354230968512e-12      -4.949809489383e-16 
   32       2.236072024811e-09       1.252613326594e-15       1.647629818292e-12       0.000000000000e+00       1.670311436408e-10       8.904546410839e-12      -1.384740938781e-15 
   33       2.208133892299e-09       1.387423745816e-15       1.725338396905e-12       0.000000000000e+00       1.579382612679e-10       8.495004301603e-12      -3.166448784816e-15 
