# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.197693585921e-09       4.174808046349e-15       2.704040715491e-12       1.991831145354e-19       8.809130097281e-09      -2.220289015389e-10      -1.832848234852e-12 
    3       3.175616413692e-09       5.331827424195e-15       2.823360097098e-12       3.980972985788e-19       5.474102998765e-09      -3.863679850711e-11      -1.384862953602e-12 
    4       3.133181222274e-09       4.584748774841e-15       2.553915171345e-12       6.629174184847e-19       3.849645257838e-09       2.091680814147e-11      -9.033807972277e-13 
    5       3.088611445895e-09       3.025125926013e-15       2.139117464122e-12       9.933383016656e-19       2.903460120837e-09       4.148396033575e-11      -4.989882866583e-13 
    6       3.046026893254e-09       1.654866674848e-15       1.704983453225e-12       1.389022049389e-18       2.288124621339e-09       4.806009038141e-11      -2.019578221797e-13 
    7       3.006088941868e-09       8.586607471329e-16       1.319541360019e-12       1.849623708420e-18       1.860501546734e-09       4.893106068011e-11      -1.345686175502e-14 
    8       2.968561167002e-09       5.266780066401e-16       1.009600366700e-12       2.374818911549e-18       1.549081454237e-09       4.740109306147e-11       8.166379957574e-14 
    9       2.932763464772e-09       4.064870283094e-16       7.792366935843e-13       2.964332013302e-18       1.313902267716e-09       4.493401463208e-11       1.069673595830e-13 
   10       2.898321989344e-09       3.334738083134e-16       6.211003682547e-13       3.617963195944e-18       1.131008019709e-09       4.220002547855e-11       8.855051752346e-14 
   11       2.865025607693e-09       2.657302719455e-16       5.229736075050e-13       4.335613042719e-18       9.530829321864e-10       4.062171421157e-11       5.064787744944e-14 
   12       2.832491949040e-09       2.163804523345e-16       4.716437330246e-13       5.117303169862e-18       8.376923360109e-10       3.645418518279e-11       1.108810420860e-14 
   13       2.800430549916e-09       1.929481083061e-16       4.552519648039e-13       5.963191672600e-18       7.425693941686e-10       3.349919018626e-11      -1.839878164801e-14 
   14       2.768911862046e-09       1.851970305822e-16       4.642526798651e-13       6.873582366370e-18       6.631175645355e-10       3.092302742406e-11      -3.331205586916e-14 
   15       2.737832680009e-09       1.812509384875e-16       4.911949631487e-13       7.848927083135e-18       5.959766125905e-10       2.798381255259e-11      -3.459198691083e-14 
   16       2.706924325946e-09       1.797037165796e-16       5.305795093758e-13       8.889820601878e-18       5.386656440859e-10       2.568713955592e-11      -2.631022353405e-14 
   17       2.676283174333e-09       1.867199172475e-16       5.790589489862e-13       9.996988137937e-18       4.893123630527e-10       2.375128636505e-11      -1.399320719391e-14 
   18       2.645624457603e-09       2.068387596449e-16       6.342812520607e-13       1.117126961737e-17       4.463121936776e-10       2.201804000988e-11      -2.825146463227e-15 
   19       2.615545875343e-09       2.389782366984e-16       6.949308364125e-13       1.241357375447e-17       4.090335626683e-10       2.046973821466e-11       4.490235750331e-15 
   20       2.585376895740e-09       2.797579530510e-16       7.595914370835e-13       1.372488887697e-17       3.760784482296e-10       1.903743705137e-11       6.262525189260e-15 
   21       2.555460246915e-09       3.281021047599e-16       8.274772828316e-13       1.510619171610e-17       3.469596965185e-10       1.771291472613e-11       3.301374393680e-15 
   22       2.525561748586e-09       3.834246608598e-16       8.978676694576e-13       1.655846326337e-17       3.210099092793e-10       1.649003258537e-11      -2.263593310040e-15 
   23       2.495932903891e-09       4.451988735282e-16       9.701116615713e-13       1.808259528447e-17       2.978939402945e-10       1.536605122483e-11      -8.352138553109e-15 
   24       2.466359241677e-09       5.127099411725e-16       1.043543564635e-12       1.967940593372e-17       2.770984372526e-10       1.433396117054e-11      -1.278938528765e-14 
   25       2.437033267445e-09       5.850810769966e-16       1.117757243756e-12       2.134954859996e-17       2.583943866212e-10       1.342484183108e-11      -1.466131061326e-14 
   26       2.407819094506e-09       6.617085465192e-16       1.192442376896e-12       2.309352882980e-17       2.414584600407e-10       1.265925517581e-11      -1.368207097844e-14 
   27       2.378780460901e-09       7.442204986110e-16       1.267414500625e-12       2.491163569884e-17       2.260996798445e-10       1.196769285485e-11      -1.070862197209e-14 
   28       2.349756922271e-09       8.348990644139e-16       1.342580137728e-12       2.680395500895e-17       2.120654974595e-10       1.125734775792e-11      -7.068802269477e-15 
   29       2.321014102070e-09       9.344445018371e-16       1.418001505905e-12       2.877033898822e-17       1.992923251584e-10       1.054699915999e-11      -3.606780205443e-15 
   30       2.292581708597e-09       1.043026234935e-15       1.493854525560e-12       3.081039973195e-17       1.876510437567e-10       9.895470512728e-12      -1.159454942703e-15 
   31       2.264175908392e-09       1.160775648713e-15       1.570345069378e-12       3.292352347451e-17       1.769138762655e-10       9.354230968512e-12      -4.949809489383e-16 
   32       2.235967600170e-09       1.287994389970e-15       1.647466695090e-12       3.510895382825e-17       1.670311436408e-10       8.904546410839e-12      -1.384740938781e-15 
   33       2.208024798135e-09       1.425017408570e-15       1.725155026536e-12       3.736570827479e-17       1.579382612679e-10       8.495004301603e-12      -3.166448784816e-15 
   34       2.180204896701e-09       1.572126276381e-15       1.803322691862e-12       3.969260358691e-17       1.495142189280e-10       8.073042978837e-12      -5.080109824832e-15 
   35       2.152609566484e-09       1.729443804518e-15       1.881763356604e-12       4.208848134924e-17       1.417198614557e-10       7.643217256832e-12      -6.660045131808e-15 
   36       2.125238297369e-09       1.896994577810e-15       1.960210666171e-12       4.455203943814e-17       1.344965516747e-10       7.228935578306e-12      -7.466358850031e-15 
   37       2.097958721545e-09       2.074800337542e-15       2.038414510102e-12       4.708189027851e-17       1.277548222062e-10       6.851604274311e-12      -7.130120284523e-15 
   38       2.070906565776e-09       2.263130715850e-15       2.116325322929e-12       4.967700308475e-17       1.214799794420e-10       6.511047694585e-12      -5.880617621185e-15 
   39       2.044184124309e-09       2.462333021731e-15       2.193971132717e-12       5.233640086800e-17       1.156546379570e-10       6.198410487744e-12      -4.197903505767e-15 
   40       2.017732198798e-09       2.672766122290e-15       2.271410589235e-12       5.505904173029e-17       1.102265257188e-10       5.901027454827e-12      -2.681644932276e-15 
   41       1.991408118655e-09       2.894754569921e-15       2.348702159061e-12       5.784397649310e-17       1.051273164361e-10       5.606509465859e-12      -1.897951262910e-15 
   42       1.965289796996e-09       3.128431170982e-15       2.425795214395e-12       6.069088365995e-17       1.003438667675e-10       5.317298085119e-12      -1.841194574629e-15 
   43       1.939443034409e-09       3.373844465255e-15       2.502606595836e-12       6.359970834821e-17       9.586501108379e-11       5.040360828373e-12      -2.310082921025e-15 
   44       1.913825893878e-09       3.630998554771e-15       2.579049810413e-12       6.657053004143e-17       9.166013526972e-11       4.783234791570e-12      -3.050259553202e-15 
   45       1.888347678856e-09       3.899920808302e-15       2.655040603955e-12       6.960364461859e-17       8.769052600515e-11       4.552229546279e-12      -3.805146571201e-15 
   46       1.863090288491e-09       4.180894825312e-15       2.730516613325e-12       7.269981424928e-17       8.395113869362e-11       4.346370094372e-12      -4.494378905463e-15 
   47       1.838136151285e-09       4.474292994818e-15       2.805422904724e-12       7.586011056846e-17       8.043866442542e-11       4.161661180392e-12      -5.083101268119e-15 
   48       1.813499259583e-09       4.780513985192e-15       2.879706451955e-12       7.908586443705e-17       7.713891116013e-11       3.992646768686e-12      -5.532278160430e-15 
   49       1.789119210119e-09       5.099984358425e-15       2.953316078001e-12       8.237868083851e-17       7.402598804339e-11       3.832316565687e-12      -5.798511858992e-15 
