# Matter power spectrum P(k) at redshift z=0
# for k=1.04291e-05 to 1.05913 h/Mpc,
# number of wavenumbers equal to 598
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042905184379e-05       4.837336798076e+01 
       2.351203255962e-05       1.060867286034e+02 
       3.664196468347e-05       1.628543265513e+02 
       4.985529344040e-05       2.192700182956e+02 
       6.318908112494e-05       2.756761830558e+02 
       7.668134798096e-05       3.323327829220e+02 
       9.037142424694e-05       3.894645398652e+02 
       1.043003181872e-04       4.472802807260e+02 
       1.185111049657e-04       5.059829533580e+02 
       1.330493412535e-04       5.657757160790e+02 
       1.479635104608e-04       6.268663068477e+02 
       1.633055034054e-04       6.894704104003e+02 
       1.791311390026e-04       7.538146445863e+02 
       1.955007291077e-04       8.201393199741e+02 
       2.124796908320e-04       8.887010762410e+02 
       2.301392083444e-04       9.597755457555e+02 
       2.485569441369e-04       1.033660018841e+03 
       2.678177967313e-04       1.110676149615e+03 
       2.880146974832e-04       1.191172613249e+03 
       3.092494331246e-04       1.275527825940e+03 
       3.316334725058e-04       1.364152365680e+03 
       3.552887652049e-04       1.457491199265e+03 
       3.803484658345e-04       1.556025389344e+03 
       4.069575207847e-04       1.660273144712e+03 
       4.352730339445e-04       1.770789340070e+03 
       4.654643055293e-04       1.888164495556e+03 
       4.977124154658e-04       2.013020724636e+03 
       5.322092033840e-04       2.146005408706e+03 
       5.691554866115e-04       2.287782697810e+03 
       6.087583631722e-04       2.439020079003e+03 
       6.512274776667e-04       2.600371963805e+03 
       6.967701929194e-04       2.772459359609e+03 
       7.455857151510e-04       2.955845473086e+03 
       7.978583635834e-04       3.151009615915e+03 
       8.537503434826e-04       3.358319748773e+03 
       9.133945472188e-04       3.578006204047e+03 
       9.768880315083e-04       3.810140330833e+03 
       1.044286857968e-03       4.054618345884e+03 
       1.115602907127e-03       4.311154967495e+03 
       1.190803078250e-03       4.579286675714e+03 
       1.269810998733e-03       4.858385631902e+03 
       1.352511047063e-03       5.147673596825e+03 
       1.438754213662e-03       5.446241194898e+03 
       1.528365142912e-03       5.753155648804e+03 
       1.621149644828e-03       6.067404990740e+03 
       1.716902027765e-03       6.387961200493e+03 
       1.815411748651e-03       6.713805869977e+03 
       1.916469058534e-03       7.043951539578e+03 
       2.019869497392e-03       7.377459155185e+03 
       2.125417235865e-03       7.713450304621e+03 
       2.232927361294e-03       8.051112206365e+03 
       2.342227261871e-03       8.389702356299e+03 
       2.453157283918e-03       8.728549274810e+03 
       2.565570833916e-03       9.067049222456e+03 
       2.679334078781e-03       9.404662693353e+03 
       2.794325373080e-03       9.740912986093e+03 
       2.910434515610e-03       1.007537818107e+04 
       3.027561913367e-03       1.040768742657e+04 
       3.145617709931e-03       1.073751637572e+04 
       3.264520918188e-03       1.106458287403e+04 
       3.384198583975e-03       1.138864107870e+04 
       3.504584997146e-03       1.170947825752e+04 
       3.625620959287e-03       1.202691193911e+04 
       3.747253112056e-03       1.234078602422e+04 
       3.869433326666e-03       1.265096624078e+04 
       3.992118152672e-03       1.295734211224e+04 
       4.115268322837e-03       1.325981666772e+04 
       4.238848310049e-03       1.355831589393e+04 
       4.362825931917e-03       1.385277247074e+04 
       4.487171998612e-03       1.414313759921e+04 
       4.611859999618e-03       1.442937201697e+04 
       4.736865825344e-03       1.471142995768e+04 
       4.862167519780e-03       1.498928622554e+04 
       4.987745060759e-03       1.526298302817e+04 
       5.113580164700e-03       1.553245555950e+04 
       5.239656113003e-03       1.579767987787e+04 
       5.365957597623e-03       1.605880888864e+04 
       5.492470583562e-03       1.631573875852e+04 
       5.619182186345e-03       1.656846177034e+04 
       5.746080562714e-03       1.681627512741e+04 
       5.873154813014e-03       1.706068892007e+04 
       6.000394893928e-03       1.730095002330e+04 
       6.127791540360e-03       1.753708506142e+04 
       6.255336195427e-03       1.776926339295e+04 
       6.383020947644e-03       1.799746707914e+04 
       6.510838474475e-03       1.822179935638e+04 
       6.638781991567e-03       1.844168251808e+04 
       6.766845207011e-03       1.865762026147e+04 
       6.895022280094e-03       1.886980286645e+04 
       7.023307784052e-03       1.907807200045e+04 
       7.151696672388e-03       1.928246620454e+04 
       7.280184248386e-03       1.948290590883e+04 
       7.408766137472e-03       1.967950836142e+04 
       7.537438262134e-03       1.987256938483e+04 
       7.666196819136e-03       2.006230373055e+04 
       7.795038258787e-03       2.024787982319e+04 
       7.923959266061e-03       2.042976396117e+04 
       8.052956743391e-03       2.060804253494e+04 
       8.182027794951e-03       2.078278266798e+04 
       8.311169712306e-03       2.095395451243e+04 
       8.440379961282e-03       2.112161325751e+04 
       8.569656169937e-03       2.128578023153e+04 
       8.698996117549e-03       2.144653811130e+04 
       8.828397724497e-03       2.160389469781e+04 
       8.957859042985e-03       2.175780561205e+04 
       9.087378248499e-03       2.190843004698e+04 
       9.216953631963e-03       2.205576164351e+04 
       9.346583592501e-03       2.219981946803e+04 
       9.476266630781e-03       2.234065190686e+04 
       9.606001342865e-03       2.247775643949e+04 
       9.735786414535e-03       2.261275520832e+04 
       9.865620616057e-03       2.274407362562e+04 
       9.995502797336e-03       2.287237379454e+04 
       1.012543188343e-02       2.299747546466e+04 
       1.025540687041e-02       2.311892430142e+04 
       1.038542682152e-02       2.323879889345e+04 
       1.051549086359e-02       2.335494997514e+04 
       1.064559818379e-02       2.346812186692e+04 
       1.077574802650e-02       2.357849310344e+04 
       1.090593969053e-02       2.368586075816e+04 
       1.103617252642e-02       2.379044099977e+04 
       1.116644593406e-02       2.389222315640e+04 
       1.129675936034e-02       2.399119312545e+04 
       1.142711229709e-02       2.408745739587e+04 
       1.155750427908e-02       2.418094967792e+04 
       1.168793488218e-02       2.427176006227e+04 
       1.181840372170e-02       2.435989655562e+04 
       1.194891045079e-02       2.444543116058e+04 
       1.207945475894e-02       2.452833589576e+04 
       1.221003637066e-02       2.460860795679e+04 
       1.234065504416e-02       2.468648925925e+04 
       1.247131057020e-02       2.476160902870e+04 
       1.260200277101e-02       2.483435868542e+04 
       1.273273149921e-02       2.490464189892e+04 
       1.286349663692e-02       2.497251936574e+04 
       1.299429809485e-02       2.503795626446e+04 
       1.312513581153e-02       2.510095623764e+04 
       1.325600975250e-02       2.516174440956e+04 
       1.338691990965e-02       2.522008049099e+04 
       1.351786630058e-02       2.527612570059e+04 
       1.364884896800e-02       2.532978433137e+04 
       1.377986797920e-02       2.538134825623e+04 
       1.391092342553e-02       2.543053847721e+04 
       1.404201542197e-02       2.547759312300e+04 
